,_instrumentname,_timestamp,_open,_high,_low,_close,_volume,_oi,Instrument,Expiry,Strike Price,Option Type
0,NIFTY31MAR2221000CE,2022-01-03 09:15:00,13.25,13.25,10.15,10.15,100,61900,NIFTY,2022-03-31,21000,CE
1,NIFTY31MAR2220000CE,2022-01-03 09:15:00,21.45,21.45,19.25,19.25,100,164150,NIFTY,2022-03-31,20000,CE
2,NIFTY31MAR2218000CE,2022-01-03 09:15:00,309.45,309.45,309.45,309.45,100,354800,NIFTY,2022-03-31,18000,CE
3,NIFTY27JAN2219600CE,2022-01-03 09:15:00,4.15,4.15,4.15,4.15,300,46000,NIFTY,2022-01-27,19600,CE
4,NIFTY31MAR2216500PE,2022-01-03 09:15:00,220.1,220.1,217.7,217.7,200,452750,NIFTY,2022-03-31,16500,PE
5,NIFTY31MAR2219000CE,2022-01-03 09:15:00,69.05,69.05,69.0,69.0,250,378250,NIFTY,2022-03-31,19000,CE
6,NIFTY31MAR2218500CE,2022-01-03 09:15:00,193.15,193.15,193.15,193.15,50,214450,NIFTY,2022-03-31,18500,CE
7,NIFTY31MAR2216000CE,2022-01-03 09:15:00,1610.0,1610.0,1610.0,1610.0,50,69775,NIFTY,2022-03-31,16000,CE
8,NIFTY31MAR2216000PE,2022-01-03 09:15:00,132.0,132.7,124.55,125.2,550,904750,NIFTY,2022-03-31,16000,PE
9,NIFTY31MAR2215000PE,2022-01-03 09:15:00,45.4,45.4,45.4,45.4,100,413150,NIFTY,2022-03-31,15000,PE
10,NIFTY31MAR2215500PE,2022-01-03 09:15:00,78.55,78.55,78.5,78.5,300,306800,NIFTY,2022-03-31,15500,PE
11,NIFTY31MAR2217500PE,2022-01-03 09:15:00,547.0,547.0,544.0,544.0,100,275000,NIFTY,2022-03-31,17500,PE
12,NIFTY31MAR2217500CE,2022-01-03 09:15:00,568.85,568.85,568.85,568.85,50,325150,NIFTY,2022-03-31,17500,CE
13,NIFTY30JUN2217000CE,2022-01-03 09:15:00,1189.95,1189.95,1189.95,1189.95,50,6450,NIFTY,2022-06-30,17000,CE
14,NIFTY31MAR2217000PE,2022-01-03 09:15:00,362.95,362.95,362.95,362.95,50,808100,NIFTY,2022-03-31,17000,PE
15,NIFTY31MAR2217000CE,2022-01-03 09:15:00,897.65,897.65,870.4,870.4,150,337275,NIFTY,2022-03-31,17000,CE
16,NIFTY27JAN2219250CE,2022-01-03 09:15:00,15.55,15.55,15.55,15.55,250,1700,NIFTY,2022-01-27,19250,CE
17,NIFTY27JAN2218800CE,2022-01-03 09:15:00,6.85,8.0,6.85,6.95,300,41600,NIFTY,2022-01-27,18800,CE
18,NIFTY27JAN2218700CE,2022-01-03 09:15:00,8.05,8.05,8.05,8.05,50,58350,NIFTY,2022-01-27,18700,CE
19,NIFTY27JAN2218400CE,2022-01-03 09:15:00,15.5,17.95,15.5,16.5,1850,371000,NIFTY,2022-01-27,18400,CE
20,NIFTY27JAN2218600CE,2022-01-03 09:15:00,6.6,6.6,6.6,6.6,50,161850,NIFTY,2022-01-27,18600,CE
21,NIFTY27JAN2219100CE,2022-01-03 09:15:00,6.4,6.4,6.4,6.4,50,8150,NIFTY,2022-01-27,19100,CE
22,NIFTY27JAN2219000PE,2022-01-03 09:15:00,1533.3,1533.3,1533.3,1533.3,100,244150,NIFTY,2022-01-27,19000,PE
23,NIFTY27JAN2218500PE,2022-01-03 09:15:00,1051.05,1052.0,1050.1,1052.0,200,259500,NIFTY,2022-01-27,18500,PE
24,NIFTY27JAN2218500CE,2022-01-03 09:15:00,12.4,13.75,10.0,13.1,5100,1025100,NIFTY,2022-01-27,18500,CE
25,NIFTY27JAN2219000CE,2022-01-03 09:15:00,5.5,5.7,5.1,5.65,250,686300,NIFTY,2022-01-27,19000,CE
26,NIFTY27JAN2218900CE,2022-01-03 09:15:00,6.2,6.2,6.2,6.2,50,142200,NIFTY,2022-01-27,18900,CE
27,NIFTY27JAN2218850CE,2022-01-03 09:15:00,7.0,7.0,7.0,7.0,50,950,NIFTY,2022-01-27,18850,CE
28,NIFTY27JAN2217000PE,2022-01-03 09:15:00,139.4,155.55,123.35,126.9,28300,3196750,NIFTY,2022-01-27,17000,PE
29,NIFTY27JAN2216900CE,2022-01-03 09:15:00,674.1,674.1,647.85,647.85,300,152100,NIFTY,2022-01-27,16900,CE
30,NIFTY27JAN2216900PE,2022-01-03 09:15:00,125.95,125.95,81.7,103.65,5850,1312800,NIFTY,2022-01-27,16900,PE
31,NIFTY27JAN2217000CE,2022-01-03 09:15:00,569.95,589.65,569.95,582.9,5500,997300,NIFTY,2022-01-27,17000,CE
32,NIFTY27JAN2216950PE,2022-01-03 09:15:00,129.25,129.3,111.95,113.4,1700,28250,NIFTY,2022-01-27,16950,PE
33,NIFTY27JAN2216500PE,2022-01-03 09:15:00,88.4,88.4,50.15,52.9,6500,2970850,NIFTY,2022-01-27,16500,PE
34,NIFTY27JAN2216450PE,2022-01-03 09:15:00,54.0,54.0,54.0,54.0,50,40900,NIFTY,2022-01-27,16450,PE
35,NIFTY27JAN2216400PE,2022-01-03 09:15:00,44.05,52.5,36.6,44.0,1950,661600,NIFTY,2022-01-27,16400,PE
36,NIFTY27JAN2215800PE,2022-01-03 09:15:00,19.55,19.55,19.55,19.55,100,147100,NIFTY,2022-01-27,15800,PE
37,NIFTY27JAN2215500PE,2022-01-03 09:15:00,13.9,13.9,13.05,13.1,500,996050,NIFTY,2022-01-27,15500,PE
38,NIFTY27JAN2215500CE,2022-01-03 09:15:00,1961.55,1961.55,1961.55,1961.55,50,654150,NIFTY,2022-01-27,15500,CE
39,NIFTY27JAN2215700PE,2022-01-03 09:15:00,18.3,18.3,18.3,18.3,100,68200,NIFTY,2022-01-27,15700,PE
40,NIFTY27JAN2215600PE,2022-01-03 09:15:00,15.45,15.45,15.45,15.45,100,57850,NIFTY,2022-01-27,15600,PE
41,NIFTY27JAN2216350PE,2022-01-03 09:15:00,41.45,41.45,41.3,41.3,100,25450,NIFTY,2022-01-27,16350,PE
42,NIFTY27JAN2216150CE,2022-01-03 09:15:00,1339.1,1339.1,1339.1,1339.1,100,1950,NIFTY,2022-01-27,16150,CE
43,NIFTY27JAN2216200PE,2022-01-03 09:15:00,35.95,35.95,30.85,33.5,850,786550,NIFTY,2022-01-27,16200,PE
44,NIFTY27JAN2216300PE,2022-01-03 09:15:00,30.25,42.85,30.25,38.85,1000,697200,NIFTY,2022-01-27,16300,PE
45,NIFTY27JAN2216850PE,2022-01-03 09:15:00,80.0,94.6,80.0,94.6,200,34800,NIFTY,2022-01-27,16850,PE
46,NIFTY27JAN2216800CE,2022-01-03 09:15:00,730.85,744.45,730.85,743.35,550,92450,NIFTY,2022-01-27,16800,CE
47,NIFTY27JAN2216800PE,2022-01-03 09:15:00,109.95,110.0,82.75,87.05,6650,1522250,NIFTY,2022-01-27,16800,PE
48,NIFTY27JAN2216100PE,2022-01-03 09:15:00,29.75,29.75,29.75,29.75,200,241550,NIFTY,2022-01-27,16100,PE
49,NIFTY27JAN2215950PE,2022-01-03 09:15:00,26.55,26.55,26.55,26.55,50,6650,NIFTY,2022-01-27,15950,PE
50,NIFTY27JAN2216000CE,2022-01-03 09:15:00,1471.9,1471.9,1466.25,1466.25,600,403000,NIFTY,2022-01-27,16000,CE
51,NIFTY27JAN2216050CE,2022-01-03 09:15:00,1432.05,1432.05,1432.05,1432.05,100,1150,NIFTY,2022-01-27,16050,CE
52,NIFTY27JAN2215900PE,2022-01-03 09:15:00,25.0,25.0,17.45,17.45,300,143600,NIFTY,2022-01-27,15900,PE
53,NIFTY27JAN2216000PE,2022-01-03 09:15:00,27.55,54.4,23.95,24.45,9050,2017500,NIFTY,2022-01-27,16000,PE
54,NIFTY27JAN2216700PE,2022-01-03 09:15:00,60.65,79.95,60.65,72.75,2650,806500,NIFTY,2022-01-27,16700,PE
55,NIFTY27JAN2216600PE,2022-01-03 09:15:00,58.3,64.45,56.6,61.85,3350,745450,NIFTY,2022-01-27,16600,PE
56,NIFTY27JAN2216700CE,2022-01-03 09:15:00,822.05,822.05,822.0,822.0,150,70600,NIFTY,2022-01-27,16700,CE
57,NIFTY24FEB2216500PE,2022-01-03 09:15:00,140.55,140.55,133.0,133.0,450,348600,NIFTY,2022-02-24,16500,PE
58,NIFTY24FEB2216200PE,2022-01-03 09:15:00,99.0,99.0,99.0,99.0,50,17650,NIFTY,2022-02-24,16200,PE
59,NIFTY24FEB2216000PE,2022-01-03 09:15:00,70.5,70.55,70.5,70.5,200,563900,NIFTY,2022-02-24,16000,PE
60,NIFTY24FEB2215800PE,2022-01-03 09:15:00,60.0,60.0,60.0,60.0,50,6300,NIFTY,2022-02-24,15800,PE
61,NIFTY24FEB2215200PE,2022-01-03 09:15:00,59.0,59.0,59.0,59.0,50,0,NIFTY,2022-02-24,15200,PE
62,NIFTY27JAN2215400PE,2022-01-03 09:15:00,21.0,21.0,11.65,11.65,200,58000,NIFTY,2022-01-27,15400,PE
63,NIFTY27JAN2215100PE,2022-01-03 09:15:00,8.15,8.15,8.15,8.15,50,337800,NIFTY,2022-01-27,15100,PE
64,NIFTY24FEB2218500CE,2022-01-03 09:15:00,100.8,100.8,90.95,90.95,150,122100,NIFTY,2022-02-24,18500,CE
65,NIFTY24FEB2219000CE,2022-01-03 09:15:00,36.0,39.35,36.0,39.35,100,146650,NIFTY,2022-02-24,19000,CE
66,NIFTY24FEB2218100CE,2022-01-03 09:15:00,174.0,174.0,174.0,174.0,100,1950,NIFTY,2022-02-24,18100,CE
67,NIFTY24FEB2218000PE,2022-01-03 09:15:00,714.1,714.1,714.1,714.1,50,41900,NIFTY,2022-02-24,18000,PE
68,NIFTY27JAN2218300PE,2022-01-03 09:15:00,864.6,864.6,864.6,864.6,100,27150,NIFTY,2022-01-27,18300,PE
69,NIFTY27JAN2218250CE,2022-01-03 09:15:00,29.95,31.95,29.95,31.2,550,17250,NIFTY,2022-01-27,18250,CE
70,NIFTY27JAN2218300CE,2022-01-03 09:15:00,17.1,28.5,17.1,23.8,3850,405850,NIFTY,2022-01-27,18300,CE
71,NIFTY27JAN2218050CE,2022-01-03 09:15:00,69.0,69.0,48.55,64.85,1150,15100,NIFTY,2022-01-27,18050,CE
72,NIFTY27JAN2218000CE,2022-01-03 09:15:00,65.05,74.6,65.05,72.6,15000,1987500,NIFTY,2022-01-27,18000,CE
73,NIFTY27JAN2218000PE,2022-01-03 09:15:00,610.0,615.1,610.0,612.9,250,593400,NIFTY,2022-01-27,18000,PE
74,NIFTY27JAN2217800CE,2022-01-03 09:15:00,124.55,131.3,121.75,127.0,4650,546900,NIFTY,2022-01-27,17800,CE
75,NIFTY27JAN2217750CE,2022-01-03 09:15:00,147.9,147.9,147.9,147.9,50,35200,NIFTY,2022-01-27,17750,CE
76,NIFTY27JAN2217950CE,2022-01-03 09:15:00,85.55,85.55,85.55,85.55,50,51500,NIFTY,2022-01-27,17950,CE
77,NIFTY27JAN2218200CE,2022-01-03 09:15:00,29.8,38.9,29.8,36.5,3600,604050,NIFTY,2022-01-27,18200,CE
78,NIFTY27JAN2217900CE,2022-01-03 09:15:00,90.0,98.95,90.0,96.45,1550,337550,NIFTY,2022-01-27,17900,CE
79,NIFTY27JAN2217800PE,2022-01-03 09:15:00,472.55,472.9,472.55,472.9,100,109800,NIFTY,2022-01-27,17800,PE
80,NIFTY27JAN2217850CE,2022-01-03 09:15:00,119.3,119.3,104.95,104.95,150,30300,NIFTY,2022-01-27,17850,CE
81,NIFTY27JAN2218150CE,2022-01-03 09:15:00,48.5,48.5,38.55,43.85,200,16950,NIFTY,2022-01-27,18150,CE
82,NIFTY27JAN2218100CE,2022-01-03 09:15:00,35.0,53.2,24.7,51.3,3600,510350,NIFTY,2022-01-27,18100,CE
83,NIFTY27JAN2218100PE,2022-01-03 09:15:00,673.85,673.85,673.85,673.85,50,29050,NIFTY,2022-01-27,18100,PE
84,NIFTY27JAN2218050PE,2022-01-03 09:15:00,655.05,655.05,655.05,655.05,50,1500,NIFTY,2022-01-27,18050,PE
85,NIFTY24FEB2218000CE,2022-01-03 09:15:00,248.0,248.0,204.95,212.05,700,171650,NIFTY,2022-02-24,18000,CE
86,NIFTY24FEB2217500CE,2022-01-03 09:15:00,455.05,455.05,418.9,430.65,350,166850,NIFTY,2022-02-24,17500,CE
87,NIFTY24FEB2217400PE,2022-01-03 09:15:00,387.2,387.2,387.2,387.2,50,16250,NIFTY,2022-02-24,17400,PE
88,NIFTY24FEB2216800PE,2022-01-03 09:15:00,166.95,187.5,166.95,186.7,250,18600,NIFTY,2022-02-24,16800,PE
89,NIFTY24FEB2217300CE,2022-01-03 09:15:00,552.1,552.1,552.1,552.1,50,15000,NIFTY,2022-02-24,17300,CE
90,NIFTY24FEB2217200CE,2022-01-03 09:15:00,596.95,596.95,596.95,596.95,50,30450,NIFTY,2022-02-24,17200,CE
91,NIFTY24FEB2217700CE,2022-01-03 09:15:00,329.95,329.95,329.95,329.95,50,18400,NIFTY,2022-02-24,17700,CE
92,NIFTY24FEB2217000PE,2022-01-03 09:15:00,250.0,250.0,240.85,241.25,550,395200,NIFTY,2022-02-24,17000,PE
93,NIFTY24FEB2217600PE,2022-01-03 09:15:00,484.25,484.25,484.25,484.25,50,1400,NIFTY,2022-02-24,17600,PE
94,NIFTY24FEB2217500PE,2022-01-03 09:15:00,440.05,442.05,424.25,424.25,350,90800,NIFTY,2022-02-24,17500,PE
95,NIFTY24FEB2217600CE,2022-01-03 09:15:00,373.95,379.8,370.0,379.8,450,10550,NIFTY,2022-02-24,17600,CE
96,NIFTY27JAN2217700PE,2022-01-03 09:15:00,439.25,439.25,402.05,402.05,400,98250,NIFTY,2022-01-27,17700,PE
97,NIFTY27JAN2217650CE,2022-01-03 09:15:00,178.0,184.35,173.0,177.45,550,42150,NIFTY,2022-01-27,17650,CE
98,NIFTY27JAN2217700CE,2022-01-03 09:15:00,162.6,169.35,156.65,164.85,8050,486750,NIFTY,2022-01-27,17700,CE
99,NIFTY27JAN2217450CE,2022-01-03 09:15:00,269.0,295.85,246.4,287.05,1600,30950,NIFTY,2022-01-27,17450,CE
